Año,Estado_index,Mes_index,Valor
2017.0,0.0,0,16.19
2019.0,0.0,10,19.85
2025.0,0.0,2,24.07
2022.0,0.0,3,21.48
2024.0,0.0,2,23.3
2017.0,0.0,11,16.48
2021.0,0.0,5,20.47
2020.0,0.0,8,19.08
2019.0,0.0,9,19.79
2022.0,0.0,4,21.8
2024.0,0.0,1,23.11
2018.0,0.0,0,17.17
2017.0,0.0,3,16.12
2019.0,0.0,8,19.74
2023.0,0.0,5,21.97
2024.0,0.0,10,24.37
2019.0,0.0,7,19.67
2024.0,0.0,0,22.58
2020.0,0.0,5,18.01
2018.0,0.0,1,18.0
2022.0,0.0,7,21.64
2021.0,0.0,4,20.46
2020.0,0.0,9,18.68
2019.0,0.0,6,19.71
2025.0,0.0,3,23.93
2023.0,0.0,11,22.43
2018.0,0.0,2,18.26
2022.0,0.0,8,21.4
2019.0,0.0,5,19.65
2022.0,0.0,5,21.81
2022.0,0.0,9,21.57
2022.0,0.0,2,21.25
2019.0,0.0,11,19.92
2021.0,0.0,8,20.25
2024.0,0.0,7,24.28
2017.0,0.0,6,15.86
2020.0,0.0,4,16.57
2021.0,0.0,9,20.2
2017.0,0.0,5,15.93
2024.0,0.0,8,24.36
2024.0,0.0,6,23.98
2020.0,0.0,3,15.36
2017.0,0.0,7,15.92
2021.0,0.0,10,20.09
2020.0,0.0,2,18.39
2021.0,0.0,7,20.5
2017.0,0.0,10,16.36
2020.0,0.0,6,19.2
2024.0,0.0,5,23.63
2017.0,0.0,8,16.15
2020.0,0.0,1,19.96
2022.0,0.0,0,20.62
2024.0,0.0,4,23.53
2021.0,0.0,6,20.55
2017.0,0.0,9,16.28
2020.0,0.0,0,19.97
2022.0,0.0,1,20.81
2017.0,0.0,4,16.03
2020.0,0.0,7,19.3
2024.0,0.0,9,24.38
2024.0,0.0,3,23.39
2021.0,0.0,11,20.26
2017.0,0.0,2,16.1
2022.0,0.0,6,21.7
2025.0,0.0,1,24.7
2018.0,0.0,4,18.46
2022.0,0.0,11,21.22
2018.0,0.0,6,19.02
2021.0,0.0,1,20.17
2019.0,0.0,2,20.34
2023.0,0.0,3,21.77
2023.0,0.0,8,22.32
2018.0,0.0,7,19.55
2021.0,0.0,2,20.46
2023.0,0.0,6,22.05
2020.0,0.0,11,18.18
2023.0,0.0,0,21.51
2018.0,0.0,11,19.81
2019.0,0.0,1,20.08
2017.0,0.0,1,16.18
2023.0,0.0,10,22.44
2025.0,0.0,0,24.68
2023.0,0.0,1,21.59
2023.0,0.0,7,22.24
2023.0,0.0,2,21.63
2018.0,0.0,5,18.65
2018.0,0.0,10,20.0
2021.0,0.0,0,19.27
2019.0,0.0,4,19.75
2024.0,0.0,11,24.39
2018.0,0.0,3,18.34
2018.0,0.0,9,20.0
2023.0,0.0,9,22.4
2018.0,0.0,8,19.8
2022.0,0.0,10,21.52
2021.0,0.0,3,20.53
2019.0,0.0,0,19.64
2023.0,0.0,4,21.76
